Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -30014.181   -30021.273        7.093   285.8
0.0010       -30014.215   -30021.857        7.643   308.0
0.0020       -30014.212   -30023.299        9.087   366.1
0.0030       -30014.220   -30024.459       10.239   412.6
0.0040       -30014.272   -30024.697       10.426   420.1
0.0050       -30014.271   -30024.844       10.573   426.0
0.0060       -30014.257   -30026.236       11.979   482.7
0.0070       -30014.284   -30028.807       14.523   585.2
0.0080       -30014.253   -30031.309       17.056   687.2
0.0090       -30014.263   -30033.104       18.840   759.1
0.0100       -30014.236   -30034.330       20.094   809.7
0.0110       -30014.260   -30035.553       21.292   857.9
0.0120       -30014.291   -30037.068       22.777   917.8
0.0130       -30014.279   -30038.764       24.485   986.6
0.0140       -30014.331   -30040.199       25.868  1042.3
0.0150       -30014.396   -30041.062       26.667  1074.5
0.0160       -30014.416   -30041.359       26.944  1085.7
0.0170       -30014.439   -30041.494       27.055  1090.2
0.0180       -30014.530   -30042.002       27.472  1107.0
0.0190       -30014.537   -30043.127       28.590  1152.0
0.0200       -30014.514   -30044.523       30.010  1209.2
0.0210       -30014.545   -30045.674       31.129  1254.3
0.0220       -30014.545   -30046.299       31.753  1279.5
0.0230       -30014.575   -30046.471       31.896  1285.2
0.0240       -30014.595   -30046.381       31.786  1280.8
0.0250       -30014.633   -30046.229       31.596  1273.1
0.0260       -30014.647   -30046.107       31.460  1267.6
0.0270       -30014.673   -30046.035       31.362  1263.7
0.0280       -30014.702   -30045.887       31.185  1256.6
0.0290       -30014.698   -30045.629       30.930  1246.3
0.0300       -30014.671   -30045.223       30.552  1231.0
0.0310       -30014.758   -30044.830       30.072  1211.7
0.0320       -30014.744   -30044.498       29.754  1198.9
0.0330       -30014.740   -30044.307       29.566  1191.3
0.0340       -30014.774   -30044.207       29.433  1186.0
0.0350       -30014.790   -30044.189       29.400  1184.6
0.0360       -30014.809   -30044.078       29.269  1179.4
0.0370       -30014.814   -30043.680       28.866  1163.1
0.0380       -30014.819   -30042.975       28.156  1134.5
0.0390       -30014.931   -30042.158       27.227  1097.1
0.0400       -30014.897   -30041.496       26.599  1071.8
0.0410       -30014.909   -30041.090       26.181  1054.9
0.0420       -30014.934   -30040.842       25.908  1043.9
0.0430       -30014.974   -30040.645       25.671  1034.4
0.0440       -30014.960   -30040.447       25.487  1027.0
0.0450       -30014.987   -30040.188       25.200  1015.4
0.0460       -30014.909   -30039.848       24.939  1004.9
0.0470       -30014.978   -30039.590       24.612   991.7
0.0480       -30014.970   -30039.684       24.714   995.8
0.0490       -30014.954   -30040.236       25.282  1018.7
0.0500       -30014.952   -30040.826       25.874  1042.6
0.0510       -30014.980   -30040.811       25.831  1040.8
0.0520       -30015.071   -30040.131       25.060  1009.7
0.0530       -30015.043   -30039.406       24.364   981.7
0.0540       -30015.074   -30039.377       24.303   979.2
0.0550       -30015.011   -30039.965       24.954  1005.5
0.0560       -30015.038   -30040.447       25.409  1023.8
